Growrate,Fox Extinction Probability,Average Final Foxes,Fox Std Dev
60,0.07,17.2,9.140021881811883
65,0.07,23.03,12.354315035646453
70,0.04,26.46,13.189708108976484
75,0.08,28.66,14.620000000000001
80,0.08,27.67,16.862416790009668
90,0.16,30.28,20.859568547791206
100,0.18,26.7,20.409556585090233
140,0.43,31.22,36.624740272116604
180,0.55,29.99,44.32798100522964
220,0.63,28.9,48.930665231529396
